dev_id,task_id,r1,r2
1,1,1,2
2,3469,1,2
2,3468,1,2
2,4751,1,2
3,2,7,2
4,3,1,2
5,10,1,2
6,11,2,2
7,1341,2,2
7,3785,2,2
7,6380,2,2
8,727,7,2
9,22,1,2
10,23,1,2
11,515,2,2
12,597,1,2
12,1053,1,2
12,1572,1,2
12,3486,1,2
12,3514,1,2
13,30,1,2
14,31,3,2
15,32,7,2
16,34,1,2
16,3557,1,2
17,9633,1,2
17,1550,1,2
17,1709,1,2
17,1267,1,2
18,4321,1,3
18,37,1,2
19,40,3,2
20,1721,1,2
21,48,1,2
22,6656,8,2
22,6594,8,2
23,3068,1,2
23,456,1,2
23,6168,1,2
23,3066,1,2
23,50,1,2
23,6223,1,2
23,1151,1,2
23,7564,1,2
23,7427,1,2
23,8851,1,2
24,52,2,2
25,9507,7,2
25,2784,7,2
25,1161,7,2
26,55,1,2
27,59,1,2
28,60,3,2
29,61,1,2
30,63,1,2
31,8757,1,2
31,8305,1,2
32,64,1,2
33,65,3,2
34,66,4,3
35,67,1,2
36,3503,1,2
36,72,1,2
37,3029,1,2
38,74,1,2
39,2700,1,2
40,9423,3,2
40,4832,3,2
41,1765,7,2
42,6635,1,2
42,9697,1,2
43,3088,1,2
44,7006,1,2
45,81,7,2
46,83,7,2
47,8235,7,2
48,3236,1,2
48,9164,1,2
49,87,2,2
50,6202,3,3
50,6272,3,2
51,91,1,2
52,93,3,2
53,6712,3,2
53,7706,3,2
54,98,1,2
55,101,1,2
56,7889,1,2
56,9216,1,2
56,1344,1,2
56,1899,1,2
56,7415,1,2
56,2111,1,2
56,3641,1,2
56,954,1,2
56,498,1,2
56,5946,1,2
56,2907,1,3
56,8320,1,2
56,7120,1,2
56,3494,1,2
56,6497,1,2
56,4980,1,2
57,2920,1,2
58,9235,1,2
58,2233,1,2
58,2288,1,2
59,103,3,2
60,7548,2,2
60,5373,2,2
60,8104,2,2
61,104,2,2
62,6741,1,2
63,107,7,2
64,7921,1,2
64,9308,1,2
64,747,1,2
64,2796,1,2
64,2794,1,2
64,2795,1,2
64,7250,1,2
64,7919,1,2
64,3207,1,2
65,109,3,2
66,1508,1,2
67,111,1,2
67,7843,1,2
68,3318,1,2
