dev_id,task_id,r1,r2
4,11947,1 ,1 
20,9391,1 ,1 
29,11874,2 ,1 
31,11233,3 ,1 
42,10013,3 ,1 
51,9766,3 ,1 
99,11593,3 ,1 
125,9388,3 ,1 
180,11874,3 ,1 
184,9613,3 ,1 
184,13109,3 ,1 
198,11616,4 ,1 
199,9613,4 ,1 
199,10179,4 ,1 
199,10206,4 ,1 
200,13109,1 ,1 
222,9391,1 ,1 
240,11947,3 ,3 
252,8835,1 ,1 
252,9595,1 ,1 
264,12366,1 ,1 
266,9388,1 ,1 
272,9533,1 ,1 
272,13109,1 ,1 
306,9533,1 ,1 
312,9388,1 ,1 
331,9613,1 ,1 
331,10179,1 ,1 
347,11233,1 ,1 
356,10179,1 ,1 
361,9391,1 ,1 
366,7403,1 ,1 
370,11874,1 ,1 
372,11233,1 ,1 
378,9595,1 ,1 
385,10206,1 ,1 
401,10013,1 ,1 
411,10013,1 ,1 
416,11367,1 ,1 
427,11616,1 ,1 
431,7403,1 ,1 
431,9533,2 ,1 
431,9613,2 ,1 
439,11593,2 ,1 
446,8835,2 ,1 
446,12366,2 ,1 
463,11947,2 ,1 
464,10206,2 ,1 
479,11367,2 ,1 
486,12366,2 ,1 
494,9766,2 ,1 
545,11616,2 ,1 
562,8835,2 ,1 
562,9595,2 ,1 
562,11593,2 ,1 
564,7403,2 ,1 
564,9766,2 ,1 
564,11367,2 ,1 
4,694,2 ,1 
4,696,2 ,1 
4,962,3 ,1 
4,1280,3 ,1 
4,1372,3 ,1 
4,2037,3 ,1 
4,2880,3 ,1 
10,2092,3 ,1 
13,34,3 ,1 
13,210,3 ,1 
13,236,3 ,1 
13,1046,3 ,1 
13,1420,3 ,1 
13,2620,3 ,1 
13,4056,3 ,1 
13,4449,3 ,1 
17,1489,3 ,1 
17,2646,3 ,1 
19,157,3 ,1 
19,5039,3 ,1 
20,915,3 ,1 
20,1943,3 ,1 
20,4490,3 ,1 
25,1627,3 ,1 
26,13,3 ,1 
26,1569,3 ,1 
26,1697,3 ,1 
26,4973,3 ,1 
27,376,3 ,1 
27,1860,3 ,1 
27,2844,3 ,1 
28,671,3 ,1 
28,851,3 ,1 
28,1280,3 ,1 
28,1679,3 ,1 
28,2382,3 ,1 
28,2800,3 ,1 
28,5526,3 ,1 
28,12190,3 ,1 
29,87,3 ,1 
29,276,3 ,1 
29,722,3 ,1 
29,815,3 ,1 
29,886,3 ,1 
29,888,3 ,1 
29,955,3 ,1 
29,1366,3 ,1 
29,4509,3 ,1 
29,7666,3 ,1 
29,12061,3 ,1 
30,1369,3 ,1 
30,1635,3 ,1 
37,1089,3 ,1 
37,1734,3 ,1 
37,1865,3 ,1 
37,1996,3 ,1 
37,2001,3 ,1 
37,2022,3 ,1 
37,2080,3 ,1 
37,2166,3 ,1 
37,2248,3 ,1 
37,2329,3 ,1 
37,2464,3 ,1 
37,2943,3 ,1 
37,3108,3 ,1 
37,10573,3 ,1 
39,279,3 ,1 
39,605,3 ,1 
39,919,3 ,1 
39,2436,3 ,1 
40,164,3 ,1 
40,322,3 ,1 
40,695,3 ,1 
40,1879,3 ,1 
40,2436,3 ,1 
40,6571,3 ,1 
41,42,3 ,1 
41,766,3 ,1 
41,915,3 ,1 
41,1400,3 ,1 
41,1572,3 ,1 
41,1821,3 ,1 
41,2559,3 ,1 
41,4464,3 ,1 
41,4466,3 ,1 
41,9027,3 ,1 
42,4457,3 ,1 
42,4876,3 ,1 
43,44,3 ,1 
43,125,3 ,1 
43,633,3 ,1 
43,810,3 ,1 
43,915,3 ,1 
43,930,3 ,1 
43,1215,3 ,1 
43,1400,3 ,1 
43,1572,3 ,1 
43,1663,3 ,1 
43,1916,3 ,1 
43,2016,3 ,1 
43,2740,3 ,1 
43,8801,3 ,1 
50,249,3 ,1 
50,879,3 ,1 
50,1695,3 ,1 
51,2174,3 ,1 
52,116,3 ,1 
52,1130,3 ,1 
52,2990,3 ,1 
54,211,3 ,1 
54,417,3 ,1 
54,435,3 ,1 
54,1831,3 ,1 
54,2443,3 ,1 
54,2812,3 ,1 
54,2975,3 ,1 
54,5806,3 ,1 
57,524,3 ,1 
59,4464,3 ,1 
60,1533,3 ,1 
62,1971,3 ,1 
63,1864,3 ,1 
63,2093,3 ,1 
68,13,3 ,1 
68,294,3 ,1 
68,901,3 ,1 
68,1089,3 ,1 
68,2038,3 ,1 
68,2779,3 ,1 
73,5,3 ,1 
73,73,3 ,1 
73,240,3 ,1 
73,341,3 ,1 
73,406,3 ,1 
73,479,3 ,1 
73,482,3 ,1 
73,504,3 ,1 
73,535,3 ,1 
73,668,3 ,1 
73,780,3 ,1 
73,787,3 ,1 
73,916,3 ,1 
73,974,3 ,1 
73,985,3 ,1 
73,1077,3 ,1 
73,1146,3 ,1 
73,1188,3 ,1 
73,1259,3 ,1 
73,1267,3 ,1 
73,1285,3 ,1 
73,1322,3 ,1 
73,1734,3 ,1 
73,1838,3 ,1 
73,1857,3 ,1 
73,1865,3 ,1 
73,1891,3 ,1 
73,1924,3 ,1 
73,1940,3 ,1 
73,2247,3 ,1 
73,2364,3 ,1 
