proj_unixname	description
a-4	Automation for managing Perforce codelines, based on a library of reusable Perl modules. Each codeline (branch) can have its own automated submit regression and shared default view.
a-a-p	A-A-P helps you with distributed development of software. Install a program on your system, obtain the sources and make modifications, manage multiple versions of the same project, distribute packages and much more. A-A-P runs on many operating systems.
a-accessvnm	We initiate an accounting software for Vietnamese that enables small enterprises, small user groups to get easier access to accounting that is modular based, easy to customize, open source and fast running, requires minimum installation based on MSAccess
a-ads-xml	ads-xml is the repository of the adms library of the UCM interface - the public interface of the Agilent RF analog simulator ADS. &lt;br/&gt;Guidelines on how to use the UCM interface are provided. &lt;br/&gt;The adms xml scripts can be downloaded from t
a-blog	Simple Blogging System using PHP and MySQL technologies.  Post new blog entries, with ratings and comments.  Customise the site to meet your own needs and alter stylesheet to achieve your own look and feel.
a-chat	A-chat is a platform agnostic Java applet GUI client (&lt; 8KB) and python server.  Features include: multiple named users and chats, Force a URL into a browser window, Timed connections, A current users column, optional error/operatonal/message logging.
a-conman	a-ConMan is a flexible database solution built to categorize and manage your image and video content. Giving you the ability to automate the building and updating for any type of content specific website within seconds. Utilizing one of the most advanced
a-f	a-f is a PHP Framework that inspired by azpiration (avm) designed by Harry S Kartono, and using the modified IWF Library.
a-gen	With A-Gen, one can create static Web photo albums directly from a directory of pictures. Since the album is static HTML, a Web server is not needed to view the album from a local medium. The albums created by A-Gen should be easy to use.
a-helper	Archmage Helper is an example set of simple scripts to play online games (http://www.the-reincarnation.com, http://www.shimlar.com).  You can use the clients as a models for your own scripts for a www-based games.
a-k-i-r-a	AKIRA aims to create a C++ development framework to build cognitive architectures and complex artificial intelligent agents.Features:KQML,Fuzzy Logic,Neural Net,Fuzzy Cognitive Maps and DIPRA (a distributed BDI - Belief Desire Intention goals model)
a-league-t	als ( another league script ) is an php/Mysql script for hte maintainace of any kind of league with quarter / third or halftimes. Full administration frontend is deliverd as statistics viewable by visitors.
a-lemmings	Project of team A-Team for Software Laboratory 4 course
