proj_unixname	sum(downloads)
a-4	1
a-a-p	719
a-accessvnm	0
a-ads-xml	25
a-blog	22
a-chat	0
a-conman	23
a-f	0
a-gen	0
a-helper	26
a-k-i-r-a	108
a-league-t	0
a-lemmings	0
a-lms	404
a-m-s	20
a-monolit	0
a-muse	0
a-muse-3d	0
a-muse-d	0
a-not-bc	0
a-note	8221
a-one	0
a-plus	0
a-r-a-p	0
a-r-e-a	0
a-renet	32
a-s-k	1067
a-s-m	154
a-s-t	2
a1kbms	0
a247dialer	0
a2bformat	14
a2billing	0
a2bitblog	9
a2c	0
a2d	0
a2dp-python	69
a2gameserver	30
a2ixlibrary	3
a2j	201
a2kmp	0
a2open	0
a2pix	0
a2png	60
a2speedholder	0
a2x	0
a2z	259
a340gc	172
a3b	15
a3dge	0
a3dspaceshooter	45
a4codegen	16
a4e5	0
a4fighter	0
a4j	35
a4l	0
a4xmessage	3
a52source	0
a6d4	0
a6driver	554
a6fw	5
a760	48
a7xpg	116
aa-project	4099
aa33code	1
aa3d	11
aaa	13
aaa4avalon	6
aaaaaaaaaa	0
aaaadmin	0
aaapage	0
aaasoai	0
aab	4
aabrowse	31
aabsdbc	1
aabsnorm	3
aac-xforms	4
aacheatscan	0
aacls	7
aacplayer	159
aacplugin	121
aacraid-22	9
aadataminer	79
aadit	0
aadl2xml	0
aadml	15
aadms	0
aae	21
aaec-2000	0
aaf	475
aaf-edit-pack	54
aaforum	0
aafreet	0
aagam	0
aagaming	0
aai-portal	37
aaid	16
aaini	14
aaio	19
aajax	0
aajguestbook	18
aakala	0
aakruthi	0
aal	16
aalan	116
aalib	109
aalib-perl	0
aalog	0
aaloha	19
aalyreth	2
aam6000ug	475
aambuilder	0
aambuilding	124
aamfetch	2
aamirplayer	120
aamon	3
aams	3
aamt3dgame	0
aaniharava	2
aanipelit	0
aanthill	0
aanval	34
aaoo	49
aap	69
aap-ugr	0
aapbem	0
aapbss	0
aaphpbb	0
aapje	78
aapp	0
aappt	0
aaps	98
aarchitect	0
aardbuilder	0
aardvark	10
aardvarkfm	0
aardvarkjava	0
aardvarktool	2
aareport	0
aarmed	0
aaron	0
aart	6
aartsprojetia	8
aas	116
aasecurity	1
aasgard	0
aast	77
aatcalendario	0
aatopendcd	67
aatrade	954
aatraders	0
aatv	52
aav	0
aavalanche	0
aaventures	0
aaviewer	37
aavso-vsr	0
aawa	0
aawebgui	0
aaxed	0
ab-conv	214
ab2foaf	0
ab2phpnuke	0
aba	18
aba-curling	8
abackgammon	0
abackupservice	0
abacom	5
abacus	5
abacuscm	3
abacuses	17
abacusvm	0
abaguibuilder	848
abakus	4
abamath	210
abamaxa	0
abaque	8
abashe	0
abat	2
abatools	0
abatornet	0
abb	12
abbackup	0
abbey	14
abbot	2441
abbott	0
abbruch	0
abc	1415
abc-123	27
abc-elp	0
abc-shell	0
abc-unix	24
abc2php	0
abc2rtttl	0
abcclassifieds	0
abccreator	0
abcdiary	0
abcdoppelganger	18
abcdp	4
abcgrid	0
abchr	31
abci	26
abcl	0
abcl-web	33
abclinux	0
abcmr	0
abcmusiex	57
abcp	41
abcpaint	0
abcplus	207
abcremotedotnet	0
abcrypt	2
abcsync	0
abcwebclient	115
abd	43
abdb	5
abdbcommerce	0
abdcalendar	0
abdf1	24
abducted-irc	42
abdymok	0
abe	1500
abe-module	20
abeam	0
abegroup	0
abelard	0
abele	0
aben	0
abeni	16
aberdeen	0
aberquest	1
abes	0
abesoft	0
abettor	0
abfallkalender	0
abfm	67
abhmanager	0
abhyaas	0
abi	0
abi2006	0
abi2xml	3
abia	12
abicheck	11
abidump	11
abifportal	0
abigail	0
abilities	0
abill	105
abills	1609
abinfo	0
abios-rtool	40
abir	0
abirom	4
abiss	0
abisum	29
abits-fipa-mesg	9
abitsfipatools	0
abiword	2381
abiwordftd	144
abj	154
abk	1
abkey	184
abkit	37
abl2001	0
ablazespace	1115
ablegray	0
ablog	2
abm	0
abmmanager-net	0
abms	0
abnet	5
abnf2c	48
abnimm	0
aboard	0
abook	209
abooo	0
aboot	75
abora	92
abort	0
aboul	42
about-server	0
aboutyou	0
abp	0
abplc5	55
abpm	0
abprolog	0
abps	0
abptools	0
abqs	0
abra	42
abraham	29
abrain	0
abrams	0
abreeze	0
abrg-brahms	0
abrick	363
abrowse	38
abrviewer	22138
abs	30
abs-ro	0
absboat	0
abscnc	0
absear	5
absearch	2
abseep	0
absencecalc	0
absencesmanager	6
absim	14
absinth	0
absinth-chat	0
absinthe	0
absk	0
absolut-library	0
absolut-xtranet	0
absolute	0
absolutefreedom	5
absolutemeeting	187
absolutengine	0
absolutewar	165
absolutex	3
absolver	22
absolvia	0
abspra	0
abstractadonet	69
abstractdb	28
abstractdb-php	4
abstraction	0
abstractoffice	0
abstractplugin	0
abstrivia	0
abstromatic	0
absylnia	0
absync	3
absynch	20
absynth	0
absynth-ftp	0
abtlinux	20
abtpportal	23
abtrack	75
abts	0
abu	4
abulafia	0
aburatan	48
abuse2	21532
abuseemail	0
abusenetstreamr	0
abvclient	0
abw	0
abxlib	0
abydos	0
abyle	0
abyss	10
abyss13	0
abyssstudio	0
ac-archive	382
ac2memomaster	0
ac3	0
ac3d	0
ac3encode	2364
ac3filter	862912
ac4ngos	9
ac97-modem	0
acacia	0
acaclick	0
acad	0
acad-genealogy	0
acadehelp	0
academia-atores	0
academic-board	0
academic-games	0
academicedge	0
academictalk	11
academy	0
acadex	0
acadmap2pgsql	114
acadnuke	0
acai	27
acal	0
acalproj	728
acami	539
acapd	0
acarsdec	0
acarsxx	0
acasha	0
acassist	1
acat	0
acbic	0
acbr	1961
acbuild	0
acc	3
acc-attack	0
accada	0
accada-ale	0
accada-epcis	0
accada-reader	0
accadict	4
accat	0
accc	15
accedit	21
acceditor	2
accel-fb	0
accel-pptp	137
accela	63
acceldirection	0
acceleratedwinx	0
acceleration	0
accelerator-ml	0
accelerator3d	269
accell4d	0
acceptance	0
accesctr	0
access-svn	24
access2psql	34
access2sql	437
access3d	0
access97thief	216
accessbuild	170
accesschecker	9
accesscms	0
accessgrid	0
accesslos	7
accessmodifier	61
accessmusic	0
accessreferer	29
accessroad	27
accessrunner	4344
accessserver	10
accesstools	0
accessunit	4
accessviewer	0
accessweb	56
accgenx	0
accha	73
accidentdb	0
accip	0
accipiter	0
accmanger	0
acco	0
accolorhelper	8
accompanistbill	0
accomplice	5
accordeur	998
accordian	10
accouma	1
account-manager	0
account4xoops	0
accountadillo	8
accountancy	0
accountant	8
accountbook	0
accounter	0
accountex	13
accountguard	0
accounting4me	0
accountis	0
accountmgm	71
accounts4j	0
accountsmanager	0
accountssummary	0
accousti-x	0
accpal	136
accre	0
accrete	57
accs	120
accsoft	6
accteditor	182
acctgsys	0
acctmgr	221
acctsync	304
accttrsh	0
accua	0
accugo	15
accurev-ant	25
accurev-idea	0
accushot	1
accutrak	7
accutron2000	61
accwhizz	151
acd	0
acd-barguide	0
acdb	4
acdcontrol	48
acdesigner	12
acdesk	0
acdev	171
acdir	84
acdk	1253
acdmaneger	0
acdo	0
acdrparser	0
acds	0
acdx-c	7
ace	559
ace-freebsd	11
ace-gmailclient	27
ace-radius	138
aceacademy	0
acecad	131
acechatserver	300
acedns	0
acefe	0
aceginet	0
acegisecurity	14227
acelet-alog	0
acell	0
acemu	0
acemulator	189
aceoperator	539
acerhk	375
aces	0
aces-high-code	0
aceserv	6
aceserver	0
acesupmobile	0
aceswitch	0
acethreatmeter	0
acetoneiso	0
aceyget	3
acf	1
acfproj	87
acfreeproxy	1787
acftp	2335
acg	0
acgc	16
acgs	0
acgsuing	0
ach	1
achaeacure	330
achaeasys	218
achaeasystem	0
achanis	0
achape	0
acharacter	0
achat	4657
achelous	0
achernar	0
acheron-l	25
achievo-modules	6
achilles	92
achimguestbook	0
achtung-kurve	0
acid	0
acid3lib	11
acidblood	105
acidbox	0
acidcp	0
acidcult	0
acide	0
acidforum	0
acidgames	0
acidic32	0
acidim	26
acidircd	1
acidlab	59
acidmon	0
acidmud	0
acido	0
acidrip	2033
acidsecrets	0
acidview6-win32	1212
acip	0
acirc	0
acity	14
ack	0
ackaboo	0
ackeralbums	0
ackertodo	653
ackord	23
ackpoller	0
ackronic	818
ackterm	209
acl	51
acl-tftp	0
acl-trend	2
aclassutil	12
aclean	2148
aclibexif	0
aclibico	247
aclip	9
aclocator	55
aclog	0
acloneboard	0
aclutil	247
acm	0
acm-uc	0
acmacros	4
acmas	0
acmco-kb	12
acmcontester	0
