proj_unixname	real_url	datasource_id
a-4	http://a-4.sourceforge.net	57
a-a-p	http://www.a-a-p.org	57
a-accessvnm	http://a-accessvnm.sourceforge.net	57
a-ads-xml	http://a-ads-xml.sourceforge.net	57
a-blog	http://a-blog.sourceforge.net	57
a-chat	http://a-chat.sourceforge.net	57
a-conman	http://www.a-conman.com	57
a-f	http://a-f.sourceforge.net	57
a-gen	http://a-gen.dev.slash-me.net	57
a-helper	http://a-helper.sourceforge.net	57
a-k-i-r-a	http://www.akira-project.org	57
a-league-t	http://liga.cow-turniere.info	57
a-lemmings	http://a-lemmings.sourceforge.net	57
a-lms	http://a-lms.sourceforge.net	57
a-m-s	http://a-m-s.sourceforge.net	57
a-monolit	http://a-monolit.sourceforge.net	57
a-muse	http://a-muse.sourceforge.net	57
a-muse-3d	http://a-muse-3d.sourceforge.net	57
a-muse-d	http://a-muse-d.sourceforge.net	57
a-not-bc	http://a-not-bc.sourceforge.net	57
a-note	http://a-note.sourceforge.net	57
a-one	http://a-one.sourceforge.net	57
a-plus	http://a-plus.sourceforge.net	57
a-r-a-p	http://a-r-a-p.sourceforge.net	57
a-r-e-a	http://a-r-e-a.sourceforge.net	57
a-renet	http://a-renet.sourceforge.net	57
a-s-k	http://www.paganini.net/ask	57
a-s-m	http://xasm.sourceforge.net	57
a-s-t	http://a-s-t.sourceforge.net	57
a1kbms	http://a1kbms.sourceforge.net	57
a213nudh299	NULL	57
a213nudh29b	NULL	57
a213nudh29c	NULL	57
a213nudh29d	NULL	57
a213nudh29e	NULL	57
a213nudh29f	NULL	57
a247dialer	http://a247dialer.sourceforge.net	57
a2bformat	http://a2bformat.sourceforge.net	57
a2billing	http://a2billing.sourceforge.net	57
a2bitblog	http://a2bitblog.sourceforge.net	57
a2c	http://a2c.sourceforge.net	57
a2d	http://a2d.sourceforge.net	57
a2dp-python	http://a2dp-python.sourceforge.net	57
a2gameserver	http://a2gameserver.sourceforge.net	57
a2ixlibrary	http://a2ixlibrary.sourceforge.net	57
a2j	http://www.k-int.com/a2j	57
a2kmp	http://a2kmp.sourceforge.net	57
a2open	http://a2open.sourceforge.net	57
a2pix	http://www.lazilong.com/apple_II/a2pix/	57
a2png	http://a2png.sourceforge.net	57
a2speedholder	http://a2speedholder.sourceforge.net	57
a2x	http://a2x.sourceforge.net	57
a2z	http://a2z.sourceforge.net	57
a340gc	http://a340gc.sourceforge.net	57
a3b	http://a3b.sourceforge.net	57
a3dge	http://a3dge.sourceforge.net	57
a3dspaceshooter	http://a3dspaceshooter.sourceforge.net	57
a4codegen	http://a4codegen.sourceforge.net	57
a4e5	http://a4e5.sourceforge.net	57
a4fighter	http://a4fighter.sourceforge.net	57
a4j	http://a4j.sourceforge.net	57
a4l	http://a4l.sourceforge.net	57
a4xmessage	http://a4xmessage.sourceforge.net	57
a52source	http://a52source.sourceforge.net	57
a6d4	http://a6d4.sourceforge.net	57
a6driver	http://a6driver.sourceforge.net	57
a6fw	http://a6fw.sourceforge.net	57
a760	http://a760.sourceforge.net	57
a7xpg	http://a7xpg.sourceforge.net	57
aa-project	http://aa-project.sourceforge.net	57
aa33code	http://aa33code.sourceforge.net	57
aa3d	http://aa3d.sourceforge.net	57
aaa	http://3aaa.org	57
aaa4avalon	http://aaa4avalon.sourceforge.net	57
aaaaaaaa	NULL	57
aaaaaaaaaa	http://aaaaaaaaaa.sourceforge.net	57
aaaadmin	http://aaaadmin.sourceforge.net	57
aaapage	http://aaapage.sourceforge.net	57
aaasoai	http://aaasoai.sourceforge.net	57
aab	http://aab.sourceforge.net	57
