proj_unixname	code	description
a-a-p	229	X Window System (X11)
a-a-p	230	Win32 (MS Windows)
a-f	237	Web-based
a-helper	237	Web-based
a-k-i-r-a	237	Web-based
a-k-i-r-a	238	Non-interactive (Daemon)
a-league-t	237	Web-based
a-lemmings	470	Java AWT
a-lms	237	Web-based
a-monolit	230	Win32 (MS Windows)
a-note	230	Win32 (MS Windows)
a-one	460	Console/Terminal
a-plus	237	Web-based
a-renet	229	X Window System (X11)
a-renet	238	Non-interactive (Daemon)
a-s-t	481	wxWidgets
a247dialer	237	Web-based
a247dialer	238	Non-interactive (Daemon)
a247dialer	471	Java Swing
a2c	237	Web-based
a2dp-python	238	Non-interactive (Daemon)
a2gameserver	459	Command-line
a2open	479	Qt
a2pix	467	Project is a graphics toolkit
a2pix	473	Carbon (Mac OS X)
a2png	459	Command-line
a2z	237	Web-based
a340gc	229	X Window System (X11)
a340gc	230	Win32 (MS Windows)
a3b	479	Qt
a3dge	229	X Window System (X11)
a3dge	230	Win32 (MS Windows)
a3dspaceshooter	475	OpenGL
a3dspaceshooter	480	SDL
a4codegen	459	Command-line
a4e5	230	Win32 (MS Windows)
a4fighter	475	OpenGL
a4l	229	X Window System (X11)
a4xmessage	229	X Window System (X11)
a6driver	230	Win32 (MS Windows)
a6fw	237	Web-based
a6fw	471	Java Swing
a7xpg	229	X Window System (X11)
aa-project	229	X Window System (X11)
aa33code	237	Web-based
aa3d	227	Curses/Ncurses
aa3d	230	Win32 (MS Windows)
aaaadmin	237	Web-based
aab	464	Project is a templating system
aabrowse	229	X Window System (X11)
aabsnorm	459	Command-line
aabsnorm	464	Project is a templating system
aabsnorm	469	.NET/Mono
aac-xforms	237	Web-based
aacheatscan	230	Win32 (MS Windows)
aacls	238	Non-interactive (Daemon)
aacplayer	230	Win32 (MS Windows)
aacplugin	229	X Window System (X11)
aai-portal	237	Web-based
aaid	459	Command-line
aajax	237	Web-based
aajguestbook	237	Web-based
aakala	459	Command-line
aakala	477	GTK+
aal	229	X Window System (X11)
aalan	310	Cocoa (MacOS X)
aalib-perl	229	X Window System (X11)
aaloha	237	Web-based
aaloha	459	Command-line
aaloha	460	Console/Terminal
aaloha	461	Plugins
aamfetch	229	X Window System (X11)
aamfetch	230	Win32 (MS Windows)
aamirplayer	230	Win32 (MS Windows)
aams	230	Win32 (MS Windows)
aanval	237	Web-based
aaoo	471	Java Swing
aap	237	Web-based
aap	238	Non-interactive (Daemon)
aaphpbb	237	Web-based
aapje	229	X Window System (X11)
aapp	230	Win32 (MS Windows)
aappt	463	Project is a user interface (UI) system
aarchitect	229	X Window System (X11)
aardvark	237	Web-based
aardvarkfm	231	Gnome
aardvarktool	237	Web-based
aarmed	229	X Window System (X11)
aarmed	230	Win32 (MS Windows)
aaron	238	Non-interactive (Daemon)
aartsprojetia	230	Win32 (MS Windows)
aartsprojetia	232	KDE
aartsprojetia	310	Cocoa (MacOS X)
aas	232	KDE
aas	479	Qt
aatcalendario	237	Web-based
aatopendcd	237	Web-based
aatopendcd	238	Non-interactive (Daemon)
aatrade	237	Web-based
aatv	229	X Window System (X11)
aatv	237	Web-based
aavalanche	479	Qt
aaviewer	484	FLTK
aavso-vsr	237	Web-based
aawa	237	Web-based
aawebgui	237	Web-based
aaxed	481	wxWidgets
ab-conv	471	Java Swing
ab2foaf	459	Command-line
ab2phpnuke	237	Web-based
aba	237	Web-based
aba-curling	230	Win32 (MS Windows)
abackgammon	230	Win32 (MS Windows)
abackgammon	238	Non-interactive (Daemon)
abackgammon	477	GTK+
abacom	237	Web-based
abacuscm	479	Qt
abacuses	471	Java Swing
abacusvm	237	Web-based
abacusvm	459	Command-line
abakus	232	KDE
abamath	230	Win32 (MS Windows)
abaque	229	X Window System (X11)
abaque	230	Win32 (MS Windows)
abatornet	230	Win32 (MS Windows)
abbackup	459	Command-line
abbot	229	X Window System (X11)
abbot	230	Win32 (MS Windows)
abbot	310	Cocoa (MacOS X)
abbott	468	Project is a remote control application
abc	229	X Window System (X11)
abc	230	Win32 (MS Windows)
abc-shell	459	Command-line
abc-unix	481	wxWidgets
abc2php	237	Web-based
abcclassifieds	237	Web-based
abccreator	230	Win32 (MS Windows)
abcdiary	237	Web-based
abcdoppelganger	469	.NET/Mono
abcdp	227	Curses/Ncurses
abchr	229	X Window System (X11)
abci	468	Project is a remote control application
abcl-web	238	Non-interactive (Daemon)
abcmusiex	459	Command-line
abcrypt	229	X Window System (X11)
abcrypt	230	Win32 (MS Windows)
abcrypt	310	Cocoa (MacOS X)
abcwebclient	237	Web-based
abd	231	Gnome
abd	481	wxWidgets
abdbcommerce	237	Web-based
abdcalendar	237	Web-based
abducted-irc	237	Web-based
abducted-irc	238	Non-interactive (Daemon)
abducted-irc	460	Console/Terminal
abe	229	X Window System (X11)
abe	230	Win32 (MS Windows)
abe	310	Cocoa (MacOS X)
abegroup	459	Command-line
abegroup	460	Console/Terminal
aben	459	Command-line
aben	469	.NET/Mono
aben	471	Java Swing
abeni	229	X Window System (X11)
aberquest	229	X Window System (X11)
aberquest	230	Win32 (MS Windows)
abes	229	X Window System (X11)
abes	237	Web-based
abesoft	237	Web-based
abettor	237	Web-based
abfm	237	Web-based
abi2006	480	SDL
abi2xml	459	Command-line
abidump	459	Command-line
abilities	237	Web-based
abill	237	Web-based
abill	238	Non-interactive (Daemon)
abinfo	461	Plugins
abir	237	Web-based
abirom	230	Win32 (MS Windows)
abirom	237	Web-based
abisum	459	Command-line
abiword	230	Win32 (MS Windows)
abiword	231	Gnome
abiword	238	Non-interactive (Daemon)
abiword	310	Cocoa (MacOS X)
abiword	314	Handheld/Mobile/PDA
abiwordftd	230	Win32 (MS Windows)
abj	230	Win32 (MS Windows)
abj	231	Gnome
abj	232	KDE
abk	459	Command-line
abkey	461	Plugins
ablazespace	230	Win32 (MS Windows)
ablegray	237	Web-based
ablog	237	Web-based
abnet	229	X Window System (X11)
abnet	230	Win32 (MS Windows)
abnf2c	459	Command-line
